Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2838143911,,,,,,,,
,AFE,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15577E+11,4.21129E+11,4.28024E+11,4.41056E+11,4.5271E+11,4.71986E+11,4.91393E+11,5.21487E+11,5.54615E+11,5.95083E+11,6.33962E+11,6.61032E+11,6.71449E+11,7.06652E+11,7.44959E+11,7.75321E+11,8.07228E+11,8.36694E+11,8.67789E+11,8.96755E+11,9.24075E+11,9.51375E+11,9.7757E+11,9.6282E+11,1.0139E+12,1.04338E+12,1.07569E+12
Afganistán,AFG,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19249499439,,,,,,,,
,AFW,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49895E+11,,,,,,,,
Angola,AGO,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32862301405,34169882553,37223442173,42168454599,46006428617,53512881455,56687539472,63434656328,64981104453,67130630639,73584995206,78311478272,83551092713,85895384573,83468668503,82353311570,79474274047,76635226282,73817677848,74304933373,76982867847,77070211490
Albania,ALB,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711586868,5157329882,5790138576,6236172103,6768856870,7028071363,7427777955,7815007071,8217508886,8779915753,9292099559,9773358385,9893496774,10319570702,10691786099,10760660629,11132894273,11243215091,11521811394,11951741965,12244490188,12691996006,12805906125,12340464703,13480243759,14077733578,14697239831
Andorra,AND,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55807E+12,,,,,,,,
Emiratos Árabes Unidos,ARE,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12993E+11,2.0993E+11,2.26443E+11,2.4936E+11,2.64518E+11,2.92468E+11,3.0549E+11,3.08694E+11,2.91462E+11,2.92965E+11,3.11392E+11,3.17219E+11,3.33395E+11,3.47446E+11,3.72018E+11,3.93E+11,3.96521E+11,4.00334E+11,4.05388E+11,3.81666E+11,3.99479E+11,4.30244E+11,4.49429E+11
Argentina,ARG,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,1.5462E+11,1.63361E+11,1.61711E+11,1.53117E+11,1.68903E+11,1.86598E+11,1.87931E+11,1.87149E+11,1.92629E+11,2.1293E+11,2.12841E+11,2.35743E+11,2.3368E+11,2.44712E+11,2.58236E+11,2.60696E+11,2.52204E+11,2.67564E+11,2.55882E+11,2.81298E+11,2.85558E+11,2.66778E+11,2.55604E+11,2.6761E+11,2.73125E+11,2.58673E+11,2.76975E+11,2.84185E+11,2.8189E+11,2.51193E+11,2.55287E+11,2.81857E+11,3.07631E+11,3.34981E+11,3.53942E+11,3.42622E+11,3.60756E+11,3.89627E+11,4.03248E+11,3.89055E+11,3.8582E+11,3.68019E+11,3.19424E+11,3.5201E+11,3.55774E+11,3.86623E+11,4.55253E+11,4.99602E+11,5.20399E+11,4.86621E+11,5.33739E+11,5.68651E+11,5.65861E+11,5.80923E+11,5.67021E+11,5.83615E+11,5.69383E+11,5.82985E+11,5.61485E+11,5.48531E+11,5.0088E+11,5.57015E+11,5.87276E+11,5.76432E+11
