Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,27970.6809,32891.6204,38912.32868,42829.60634,42887.20346,44093.80691,44584.06637,44803.50682,46036.28584,45901.56381,44646.67735,45976.43249,45752.4539,45694.82149,48673.76915,50237.36808,49419.45392,49402.73065,51886.16221,50365.47037,50026.38097,51188.3325,51731.83606,45381.78615,44039.86822,45189.54002,44066.73903,46206.30234,44991.25432,44255.30832,44676.41432,47821.92762,48890.47409,47669.89955,35374.29272,44272.68327,48218.40119,50251.3527
,AFE,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20776.4515,18673.98179,22786.02811,23320.51351,22819.53938,24504.39206,24781.90064,27679.47563,28143.7377,32940.52718,36582.11252,35406.62132,38338.06615,39124.78944,38757.02238,38111.6957,37997.31448,37923.00331,37273.10061,37592.2682,35568.85886,27535.81638,25449.51874,25587.11298
,AFW,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,50882.40074,46903.63225,45209.84031,45390.19392,46363.13583,46252.68894,45902.64863,46145.58989,47335.07508,45765.1085,42712.33459,41710.87868,38010.56265,27985.5824,27455.79629,30537.00904,33520.15056,34758.01961,35190.87225,34792.9343,34687.53665,34954.34787,38400.07839,38190.53781,40876.39151,45336.51417,48743.24262,53530.77653,57303.64466,55640.52709,55893.31536,55628.55805,58080.43517,58655.82394,59231.79126,57673.57945,54211.63709,52248.76508,49810.85341,47813.42956,43667.01252,42806.95111,42745.46823,41863.72613
Albania,ALB,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,207060.0819,214614.9766,216322.9686,214123.392,207041.2668,206439.6145,213901.6954,208020.4761,201233.7616,215166.4171,191093.8021,138415.316,129248.6909,142470.7665,155250.0547,177023.0922,194336.2691,174200.8843,190778.6843,216739.9795,233277.2886,255005.6617,267374.6484,283214.4882,300084.3563,318293.1223,339214.2841,362237.5341,392405.0687,408309.7949,425553.0599,437560.6457,444495.4254,449772.6278,458702.36,470247.1051,486613.0832,505581.8075,527202.0607,540373.092,525475.3312,577940.4045,613246.437,644749.7161
Andorra,AND,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,38224.61381,37268.7733,37646.1657,37986.96371,37653.89927,35618.44705,34716.44313,33794.93195,32573.57492,31094.82592,30470.64052,29294.73725,28439.48656,27657.89575,27014.06808,26662.30848,26380.59087,26722.67043,27082.06551,27714.08412,27680.96146,26346.96914,25031.17774,23570.20009,23631.44462,24549.044,25661.60134,27678.77743,28265.11578,29276.85284,30321.38236,32700.14578,33850.63002,35215.72691,35601.47999,36022.65535,36728.27794,36254.62584,33575.66321,31646.24261,32244.31889,33453.32528,32181.84658,31717.15828,33153.91188,34357.66342,35628.76657,34985.29073,34879.59341,34972.1474,30697.20858,32823.61799,35358.00765,35755.16968
El mundo árabe,ARB,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiratos Árabes Unidos,ARE,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,184785.874,215902.7651,261291.3553,407153.4116,415962.1006,398099.6515,408899.182,430601.6227,371883.7728,399037.9375,443844.8788,428981.4829,377336.972,339371.6352,333896.6133,305094.6632,243638.0206,234780.1371,214011.3423,225900.6232,252043.3444,240477.6173,235817.1612,227253.7889,231855.4856,236543.9563,234565.0988,233974.3878,217445.7457,208301.2994,215866.6626,205365.6618,197963.2435,203279.6717,210832.5496,209892.8947,214694.0751,197287.4313,181683.2745,161777.717,160476.0252,164820.51,161313.1506,162824.914,161896.767,163822.7022,164614.0293,160643.7758,160604.4039,160681.0861,153442.9373,157213.2981,160634.3906,159957.2992
Argentina,ARG,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,8973.393779,9305.157928,9074.277237,8452.540138,9160.107542,9971.093609,9754.766474,9913.742146,10234.04036,11053.65246,11213.99511,11663.43222,11667.16556,11802.84345,12252.79761,12053.90944,11627.20667,12238.10773,11501.27723,12476.2005,12465.51592,11630.75531,11361.46148,11667.18001,11663.23406,10885.48452,11376.96969,11505.54572,11205.12156,10245.08138,9844.376546,10590.10137,11273.51487,12034.71556,12567.52992,12051.01248,12558.12513,13412.80867,13766.44283,13147.90739,12897.19765,12193.96001,10749.913,11579.63325,12497.84226,13465.0479,14399.77155,15542.04928,16009.64255,14903.32628,16239.8859,17032.59899,16685.41921,16917.93264,16323.56097,16594.68104,16092.77475,16401.17606,15840.98785,15414.06257,13820.84816,15223.46522,15991.97548,15689.25542
